Rank,Title,Year,Duration,Genre1,Genre2,Genre3,Rating,Votes,Director,Actor1,Actor2,Actor3,Actor4
199,Legionnaire,1998,99,Action, Adventure, Drama,5.5,24748,Peter MacDonald,Jean-Claude Van Damme,Adewale Akinnuoye-Agbaje,Steven Berkoff,Nicholas Farrell
200,I'll Be Home for Christmas,1998,86,Comedy, Family,,5.5,11212,Arlene Sanford,Jonathan Taylor Thomas,Jessica Biel,Adam LaVorgna,Gary Cole
201,Phantasm IV: Oblivion,1998,90,Fantasy, Horror, Sci-Fi,5.5,7981,Don Coscarelli,A. Michael Baldwin,Reggie Bannister,Bill Thornbury,Heidi Marnhout
202,Kissing a Fool,1998,93,Comedy, Romance,,5.5,5363,Doug Ellin,David Schwimmer,Jason Lee,Mili Avital,Bonnie Hunt
203,Duplicate,1998,164,Action, Comedy, Crime,5.5,7970,Mahesh Bhatt,Shah Rukh Khan,Juhi Chawla,Sonali Bendre,Kajol
204,Godzilla,1998,139,Action, Sci-Fi, Thriller,5.4,196801,Roland Emmerich,Matthew Broderick,Jean Reno,Maria Pitillo,Hank Azaria
205,Doctor Dolittle,1998,85,Comedy, Family, Fantasy,5.4,99036,Betty Thomas,Eddie Murphy,Peter Boyle,Ossie Davis,Oliver Platt
206,Jack Frost,1998,101,Comedy, Drama, Family,5.4,38436,Troy Miller,Michael Keaton,Kelly Preston,Joseph Cross,Mark Addy
207,Phantoms,1998,96,Horror, Sci-Fi, Thriller,5.4,21551,Joe Chappelle,Peter O'Toole,Rose McGowan,Joanna Going,Liev Schreiber
208,Black Dog,1998,89,Action, Crime, Drama,5.4,9553,Kevin Hooks,Patrick Swayze,Randy Travis,Meat Loaf,Gabriel Casseus
209,Hush,1998,96,Drama, Thriller,,5.4,12729,Jonathan Darby,Jessica Lange,Gwyneth Paltrow,Johnathon Schaech,Nina Foch
210,Lost in Space,1998,130,Action, Adventure, Family,5.2,73502,Stephen Hopkins,Gary Oldman,William Hurt,Matt LeBlanc,Mimi Rogers
211,The Last Broadcast,1998,86,Horror, Mystery,,5.2,5831,Stefan Avalos,Lance Weiler,David Beard,Lance Weiler,Stefan Avalos
212,New Rose Hotel,1998,93,Drama, Mystery, Sci-Fi,5.1,5704,Abel Ferrara,Christopher Walken,Willem Dafoe,Asia Argento,Annabella Sciorra
213,Home Fries,1998,91,Comedy, Drama, Romance,5.1,8706,Dean Parisot,Drew Barrymore,Luke Wilson,Catherine O'Hara,Jake Busey
214,Strangeland,1998,85,Horror, Thriller,,5.0,7418,John Pieplow,Kevin Gage,Elizabeth Peña,Dee Snider,Brett Harrelson
215,Krippendorf's Tribe,1998,94,Comedy,,,5.0,6194,Todd Holland,Richard Dreyfuss,Jenna Elfman,Natasha Lyonne,Gregory Smith
216,My Giant,1998,103,Comedy, Drama,,5.0,7023,Michael Lehmann,Billy Crystal,Gheorghe Muresan,Kathleen Quinlan,Joanna Pacula
217,Blues Brothers 2000,1998,123,Action, Comedy, Crime,4.9,33967,John Landis,Dan Aykroyd,John Goodman,Walter Levine,Tom Davis
218,Holy Man,1998,114,Comedy, Drama,,4.9,20454,Stephen Herek,Eddie Murphy,Jeff Goldblum,Kelly Preston,Robert Loggia
219,Knock Off,1998,91,Action, Crime, Thriller,4.8,15718,Hark Tsui,Jean-Claude Van Damme,Rob Schneider,Lela Rochon,Paul Sorvino
220,I Still Know What You Did Last Summer,1998,100,Horror, Mystery, Thriller,4.7,75939,Danny Cannon,Jennifer Love Hewitt,Freddie Prinze Jr.,Brandy Norwood,Mekhi Phifer
