Rank,Title,Year,Duration,Genre1,Genre2,Genre3,Rating,Votes,Director,Actor1,Actor2,Actor3,Actor4
1,"Pretty Village, Pretty Flame",1996,115,Comedy, Drama, History,8.6,17024,Srdjan Dragojevic,Dragan Bjelogrlic,Nikola Kojo,Dragan Maksimovic,Zoran Cvijanovic
2,Poove Unakkaga,1996,150,Comedy, Drama, Romance,8.6,6743,Vikraman,Joseph Vijay,Sangeetha,Anju Aravind,Madhan Bob
3,Trainspotting,1996,93,Drama,,,8.1,697857,Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd
4,Fargo,1996,98,Crime, Thriller,,8.1,689199,Joel Coen,Ethan Coen,William H. Macy,Frances McDormand,Steve Buscemi
5,"Comrades, Almost a Love Story",1996,118,Drama, Romance,,8.1,6795,Peter Ho-Sun Chan,Maggie Cheung,Leon Lai,Eric Tsang,Kristy Yeung
6,The Bandit,1996,128,Crime, Drama, Thriller,8.1,70720,Yavuz Turgul,Sener Sen,Ugur Yücel,Sermin Hürmeriç,Yesim Salkim
7,Indian,1996,185,Action, Drama, Thriller,8.1,13076,S. Shankar,Kamal Haasan,Sukanya,Manisha Koirala,Urmila Matondkar
8,Sling Blade,1996,135,Drama,,,8.0,95764,Billy Bob Thornton,Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,John Ritter
9,Secrets & Lies,1996,136,Comedy, Drama,,8.0,44704,Mike Leigh,Timothy Spall,Brenda Blethyn,Phyllis Logan,Claire Rushbrook
10,Breaking the Waves,1996,159,Drama,,,7.8,68857,Lars von Trier,Emily Watson,Stellan Skarsgård,Katrin Cartlidge,Jean-Marc Barr
11,Primal Fear,1996,129,Crime, Drama, Mystery,7.7,229583,Gregory Hoblit,Richard Gere,Laura Linney,Edward Norton,John Mahoney
12,Hamlet,1996,242,Drama,,,7.7,38886,Kenneth Branagh,Kenneth Branagh,Julie Christie,Derek Jacobi,Kate Winslet
13,Kolya,1996,105,Comedy, Drama, Music,7.7,15827,Jan Sverák,Zdenek Sverák,Andrey Khalimon,Libuse Safránková,Ondrej Vetchý
14,Shall We Dance?,1996,136,Comedy, Drama, Music,7.7,11339,Masayuki Suô,Kôji Yakusho,Tamiyo Kusakari,Naoto Takenaka,Eri Watanabe
15,The Promise,1996,90,Drama,,,7.7,8237,Jean-Pierre Dardenne,Luc Dardenne,Jérémie Renier,Olivier Gourmet,Assita Ouedraogo
16,Tabutta Rövasata,1996,76,Drama,,,7.7,10471,Dervis Zaim,Ahmet Ugurlu,Tuncel Kurtiz,Aysen Aydemir,Serif Erol
17,Star Trek: First Contact,1996,111,Action, Adventure, Drama,7.6,128039,Jonathan Frakes,Patrick Stewart,Jonathan Frakes,Brent Spiner,LeVar Burton
18,Shine,1996,105,Biography, Drama, Music,7.6,55135,Scott Hicks,Geoffrey Rush,Armin Mueller-Stahl,Justin Braine,Sonia Todd
19,A Summer's Tale,1996,113,Comedy, Drama, Romance,7.6,9067,Éric Rohmer,Melvil Poupaud,Amanda Langlet,Gwenaëlle Simon,Aurelia Nolin
20,Beautiful Thing,1996,90,Comedy, Drama, Romance,7.6,24851,Hettie Macdonald,Glen Berry,Linda Henry,Scott Neal,Tameka Empson
21,Drifting Clouds,1996,97,Comedy, Drama,,7.6,8028,Aki Kaurismäki,Kati Outinen,Kari Väänänen,Elina Salo,Sakari Kuosmanen
22,A Time to Kill,1996,149,Crime, Drama, Thriller,7.5,167665,Joel Schumacher,Matthew McConaughey,Sandra Bullock,Samuel L. Jackson,Kevin Spacey
23,Sleepers,1996,147,Crime, Drama, Thriller,7.5,229291,Barry Levinson,Robert De Niro,Kevin Bacon,Brad Pitt,Jason Patric
24,The Eighth Day,1996,118,Comedy, Drama,,7.5,9818,Jaco Van Dormael,Daniel Auteuil,Pascal Duquenne,Miou-Miou,Henri Garcin
25,Scream,1996,111,Horror, Mystery,,7.4,359415,Wes Craven,Neve Campbell,Courteney Cox,David Arquette,Skeet Ulrich
26,The Rock,1996,136,Action, Adventure, Thriller,7.4,345190,Michael Bay,Sean Connery,Nicolas Cage,Ed Harris,John Spencer
27,The English Patient,1996,162,Drama, Romance, War,7.4,194215,Anthony Minghella,Ralph Fiennes,Juliette Binoche,Willem Dafoe,Kristin Scott Thomas
28,Lone Star,1996,135,Drama, Mystery, Western,7.4,30572,John Sayles,Chris Cooper,Elizabeth Peña,Stephen Mendillo,Stephen J. Lang
29,Waiting for Guffman,1996,84,Comedy,,,7.4,29788,Christopher Guest,Christopher Guest,Fred Willard,Catherine O'Hara,Parker Posey
30,The Apartment,1996,116,Drama, Mystery, Romance,7.4,15183,Gilles Mimouni,Romane Bohringer,Vincent Cassel,Jean-Philippe Écoffey,Monica Bellucci
31,Thesis,1996,125,Crime, Horror, Mystery,7.4,40269,Alejandro Amenábar,Ana Torrent,Fele Martínez,Eduardo Noriega,Xabier Elorriaga
32,Kids Return,1996,107,Crime, Drama, Sport,7.4,6431,Takeshi Kitano,Ken Kaneko,Masanobu Andô,Leo Morimoto,Hatsuo Yamaya
33,Family Resemblances,1996,110,Comedy, Drama,,7.4,5308,Cédric Klapisch,Jean-Pierre Bacri,Jean-Pierre Darroussin,Catherine Frot,Agnès Jaoui
34,Jerry Maguire,1996,139,Comedy, Drama, Romance,7.3,273973,Cameron Crowe,Tom Cruise,Cuba Gooding Jr.,Renée Zellweger,Kelly Preston
35,Bound,1996,109,Crime, Thriller,,7.3,57467,Lana Wachowski,Lilly Wachowski,Jennifer Tilly,Gina Gershon,Joe Pantoliano
36,Big Night,1996,109,Drama, Romance,,7.3,21555,Campbell Scott,Stanley Tucci,Tony Shalhoub,Stanley Tucci,Marc Anthony
37,The People vs. Larry Flynt,1996,130,Biography, Drama,,7.3,97394,Milos Forman,Woody Harrelson,Courtney Love,Edward Norton,Brett Harrelson
38,Pusher,1996,110,Crime, Thriller,,7.3,41892,Nicolas Winding Refn,Kim Bodnia,Zlatko Buric,Laura Drasbæk,Slavko Labovic
39,The God of Cookery,1996,95,Action, Comedy, Fantasy,7.3,9349,Stephen Chow,Lik-Chi Lee,Stephen Chow,Karen Mok,Vincent Kok
40,Ridicule,1996,102,Comedy, Drama, History,7.3,7819,Patrice Leconte,Charles Berling,Jean Rochefort,Fanny Ardant,Judith Godrèche
41,From Dusk Till Dawn,1996,108,Action, Crime, Horror,7.2,322722,Robert Rodriguez,Harvey Keitel,George Clooney,Juliette Lewis,Quentin Tarantino
42,The Birdcage,1996,117,Comedy,,,7.2,93297,Mike Nichols,Robin Williams,Nathan Lane,Gene Hackman,Dianne Wiest
43,Swingers,1996,96,Comedy, Drama,,7.2,84982,Doug Liman,Vince Vaughn,Heather Graham,Jon Favreau,Ron Livingston
44,Brassed Off,1996,108,Comedy, Drama, Music,7.2,20348,Mark Herman,Pete Postlethwaite,Tara Fitzgerald,Ewan McGregor,Stephen Tompkinson
45,The Green Planet,1996,99,Comedy, Sci-Fi,,7.2,5218,Coline Serreau,Coline Serreau,Vincent Lindon,James Thierrée,Samuel Tasinaje
46,Fire,1996,104,Drama, Romance,,7.2,6197,Deepa Mehta,Shabana Azmi,Nandita Das,Karishma Jhalani,Ramanjeet Kaur
47,Box of Moonlight,1996,112,Comedy, Drama,,7.2,5863,Tom DiCillo,John Turturro,Sam Rockwell,Catherine Keener,Lisa Blount
48,Mystery Science Theater 3000: The Movie,1996,73,Comedy, Drama, Fantasy,7.2,18625,Jim Mallon,Trace Beaulieu,Michael J. Nelson,Jim Mallon,Kevin Murphy
49,Mission: Impossible,1996,110,Action, Adventure, Thriller,7.1,436092,Brian De Palma,Tom Cruise,Jon Voight,Emmanuelle Béart,Henry Czerny
50,The Frighteners,1996,110,Comedy, Fantasy, Horror,7.1,91274,Peter Jackson,Michael J. Fox,Trini Alvarado,Peter Dobson,John Astin
51,Beautiful Girls,1996,112,Comedy, Drama, Romance,7.1,33866,Ted Demme,Matt Dillon,Timothy Hutton,Noah Emmerich,Annabeth Gish
52,Hard Eight,1996,101,Crime, Drama,,7.1,52477,Paul Thomas Anderson,Philip Baker Hall,John C. Reilly,Gwyneth Paltrow,Samuel L. Jackson
53,Michael Collins,1996,133,Biography, Drama, Thriller,7.1,32432,Neil Jordan,Liam Neeson,Aidan Quinn,Julia Roberts,Ian Hart
54,Trees Lounge,1996,95,Comedy, Drama,,7.1,16866,Steve Buscemi,Steve Buscemi,Carol Kane,Mark Boone Junior,Bronson Dudley
55,Twelfth Night,1996,134,Comedy, Drama, Romance,7.1,6193,Trevor Nunn,Helena Bonham Carter,Richard E. Grant,Imogen Stubbs,Steven Mackintosh
56,Mother Night,1996,114,Drama, Romance, War,7.1,5381,Keith Gordon,Nick Nolte,Sheryl Lee,Tony Robinow,Michael McGill
57,Matilda,1996,102,Comedy, Family, Fantasy,7.0,162012,Danny DeVito,Danny DeVito,Rhea Perlman,Mara Wilson,Embeth Davidtz
58,Happy Gilmore,1996,92,Comedy, Sport,,7.0,233344,Dennis Dugan,Adam Sandler,Christopher McDonald,Julie Bowen,Frances Bay
59,Independence Day,1996,145,Action, Adventure, Sci-Fi,7.0,584071,Roland Emmerich,Will Smith,Bill Pullman,Jeff Goldblum,Mary McDonnell
60,That Thing You Do!,1996,108,Comedy, Drama, Music,7.0,70884,Tom Hanks,Tom Hanks,Liv Tyler,Charlize Theron,Tom Everett Scott
61,The Hunchback of Notre Dame,1996,91,Animation, Drama, Family,7.0,162664,Gary Trousdale,Kirk Wise,Demi Moore,Jason Alexander,Mary Kay Bergman
62,Irma Vep,1996,99,Comedy, Drama,,7.0,8710,Olivier Assayas,Maggie Cheung,Jean-Pierre Léaud,Nathalie Richard,Antoine Basler
63,The Daytrippers,1996,87,Comedy, Drama,,7.0,6233,Greg Mottola,Hope Davis,Stanley Tucci,Parker Posey,Liev Schreiber
64,The Hunters,1996,113,Crime, Thriller,,7.0,8965,Kjell Sundvall,Rolf Lassgård,Lennart Jähkel,Jarmo Mäkinen,Tomas Norström
65,Citizen Ruth,1996,106,Comedy, Drama,,7.0,8530,Alexander Payne,Laura Dern,Swoosie Kurtz,Mary Kay Place,Kurtwood Smith
66,The Spitfire Grill,1996,117,Drama,,,7.0,7029,Lee David Zlotoff,Alison Elliott,Ellen Burstyn,Marcia Gay Harden,Will Patton
67,Kingpin,1996,114,Comedy, Sport,,6.9,87217,Bobby Farrelly,Peter Farrelly,Woody Harrelson,Randy Quaid,Bill Murray
68,Bottle Rocket,1996,91,Comedy, Crime, Drama,6.9,79227,Wes Anderson,Luke Wilson,Owen Wilson,Ned Dowd,Shea Fowler
69,Fly Away Home,1996,107,Adventure, Drama, Family,6.9,26253,Carroll Ballard,Jeff Daniels,Anna Paquin,Dana Delany,Terry Kinney
70,Set It Off,1996,123,Action, Crime, Drama,6.9,17268,F. Gary Gray,Jada Pinkett Smith,Queen Latifah,Vivica A. Fox,Kimberly Elise
71,Basquiat,1996,107,Biography, Drama,,6.9,21274,Julian Schnabel,Jeffrey Wright,Michael Wincott,Benicio Del Toro,Claire Forlani
72,Muppet Treasure Island,1996,99,Action, Adventure, Comedy,6.9,25153,Brian Henson,David Lane,Tim Curry,Billy Connolly,Jennifer Saunders
73,Jude,1996,123,Drama, Romance,,6.9,10821,Michael Winterbottom,Christopher Eccleston,Kate Winslet,Liam Cunningham,Rachel Griffiths
74,Mother,1996,104,Comedy, Drama,,6.9,6448,Albert Brooks,Albert Brooks,Debbie Reynolds,Paul Collins,Laura Weekes
75,Kids in the Hall: Brain Candy,1996,89,Comedy,,,6.9,9275,Kelly Makin,David Foley,Bruce McCulloch,Kevin McDonald,Mark McKinney
76,Get on the Bus,1996,120,Adventure, Drama, History,6.9,5841,Spike Lee,Ossie Davis,Charles S. Dutton,Andre Braugher,Richard Belzer
77,The Long Kiss Goodnight,1996,121,Action, Crime, Drama,6.8,81998,Renny Harlin,Geena Davis,Samuel L. Jackson,Yvonne Zima,Craig Bierko
78,Freeway,1996,102,Crime, Drama, Thriller,6.8,29767,Matthew Bright,Reese Witherspoon,Kiefer Sutherland,Bokeem Woodbine,Paul Perri
79,The Ghost and the Darkness,1996,110,Adventure, Drama, Thriller,6.8,63740,Stephen Hopkins,Michael Douglas,Val Kilmer,Tom Wilkinson,John Kani
80,The Crucible,1996,124,Drama, History,,6.8,38835,Nicholas Hytner,Daniel Day-Lewis,Winona Ryder,Paul Scofield,Joan Allen
81,Beavis and Butt-Head Do America,1996,81,Animation, Adventure, Comedy,6.8,58659,Mike Judge,Mike de Seve,Brian Mulroney,Yvette Kaplan,Mike Judge
82,Jane Eyre,1996,112,Drama, Romance,,6.8,9877,Franco Zeffirelli,William Hurt,Charlotte Gainsbourg,Anna Paquin,Nic Knight
83,Romeo + Juliet,1996,120,Drama, Romance,,6.7,234676,Baz Luhrmann,Leonardo DiCaprio,Claire Danes,John Leguizamo,Harold Perrineau
84,James and the Giant Peach,1996,79,Animation, Adventure, Family,6.7,70233,Henry Selick,Paul Terry,Joanna Lumley,Pete Postlethwaite,Simon Callow
85,Ransom,1996,121,Action, Crime, Thriller,6.7,131077,Ron Howard,Mel Gibson,Gary Sinise,Rene Russo,Brawley Nolte
86,Everyone Says I Love You,1996,101,Comedy, Musical, Romance,6.7,38057,Woody Allen,Woody Allen,Goldie Hawn,Julia Roberts,Edward Norton
87,Marvin's Room,1996,98,Drama,,,6.7,28825,Jerry Zaks,Meryl Streep,Leonardo DiCaprio,Diane Keaton,Robert De Niro
88,SubUrbia,1996,121,Comedy, Drama,,6.7,10079,Richard Linklater,Giovanni Ribisi,Steve Zahn,Jayce Bartok,Amie Carey
89,Flirting with Disaster,1996,92,Comedy,,,6.7,19330,David O. Russell,Ben Stiller,Patricia Arquette,Téa Leoni,Mary Tyler Moore
90,Ghosts of Mississippi,1996,130,Drama, History,,6.7,11545,Rob Reiner,Alec Baldwin,James Woods,Whoopi Goldberg,Virginia Madsen
91,Schizopolis,1996,96,Comedy, Fantasy, Mystery,6.7,5865,Steven Soderbergh,Steven Soderbergh,Scott Allen,Betsy Brantley,Marcus Lyle Brown
92,Emma,1996,120,Comedy, Drama, Romance,6.6,40218,Douglas McGrath,Gwyneth Paltrow,James Cosmo,Greta Scacchi,Alan Cumming
93,Courage Under Fire,1996,116,Action, Drama, Mystery,6.6,56756,Edward Zwick,Denzel Washington,Meg Ryan,Lou Diamond Phillips,Michael Moriarty
94,White Squall,1996,129,Adventure, Drama,,6.6,24498,Ridley Scott,Jeff Bridges,Caroline Goodall,John Savage,Scott Wolf
95,The Mirror Has Two Faces,1996,126,Comedy, Drama, Romance,6.6,20707,Barbra Streisand,Barbra Streisand,Jeff Bridges,Lauren Bacall,George Segal
96,First Strike,1996,107,Action, Adventure, Comedy,6.6,21574,Stanley Tong,Jackie Chan,Jackson Lou,Annie Wu,Bill Tung
97,Night Falls on Manhattan,1996,113,Crime, Drama, Thriller,6.6,8382,Sidney Lumet,Andy Garcia,Richard Dreyfuss,Lena Olin,Ian Holm
98,I Shot Andy Warhol,1996,103,Biography, Drama,,6.6,6922,Mary Harron,Lili Taylor,Jared Harris,Martha Plimpton,Lothaire Bluteau
99,The Funeral,1996,99,Crime, Drama,,6.6,9043,Abel Ferrara,Christopher Walken,Chris Penn,Annabella Sciorra,Isabella Rossellini
100,Space Jam,1996,88,Animation, Adventure, Comedy,6.5,202778,Joe Pytka,Michael Jordan,Wayne Knight,Theresa Randle,Manner Washington
101,Stealing Beauty,1996,118,Drama, Mystery, Romance,6.5,29229,Bernardo Bertolucci,Jeremy Irons,Liv Tyler,Carlo Cecchi,Sinéad Cusack
102,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,89,Comedy, Crime,,6.5,58061,Paris Barclay,Shawn Wayans,Marlon Wayans,Keenen Ivory Wayans,Tracey Cherelle Jones
103,Executive Decision,1996,133,Action, Adventure, Thriller,6.5,59371,Stuart Baird,Kurt Russell,Halle Berry,John Leguizamo,Oliver Platt
104,2 Days in the Valley,1996,104,Comedy, Crime, Thriller,6.5,20931,John Herzfeld,Teri Hatcher,Jeff Daniels,Danny Aiello,Charlize Theron
105,One Fine Day,1996,108,Comedy, Drama, Romance,6.5,47310,Michael Hoffman,Michelle Pfeiffer,George Clooney,Mae Whitman,Alex D. Linz
106,My Fellow Americans,1996,101,Adventure, Comedy,,6.5,15521,Peter Segal,Jack Lemmon,James Garner,Dan Aykroyd,John Heard
107,The Pillow Book,1996,126,Drama,,,6.5,13273,Peter Greenaway,Vivian Wu,Ewan McGregor,Yoshi Oida,Ken Ogata
108,Twister,1996,113,Action, Adventure, Thriller,6.4,201384,Jan de Bont,Helen Hunt,Bill Paxton,Cary Elwes,Jami Gertz
109,Crash,1996,100,Drama,,,6.4,62877,David Cronenberg,James Spader,Holly Hunter,Elias Koteas,Deborah Kara Unger
110,Mars Attacks!,1996,106,Comedy, Sci-Fi,,6.4,233315,Tim Burton,Jack Nicholson,Pierce Brosnan,Sarah Jessica Parker,Annette Bening
111,The Craft,1996,101,Drama, Fantasy, Horror,6.4,98681,Andrew Fleming,Robin Tunney,Fairuza Balk,Neve Campbell,Rachel True
112,DragonHeart,1996,103,Action, Adventure, Fantasy,6.4,99278,Rob Cohen,Dennis Quaid,Sean Connery,Dina Meyer,Pete Postlethwaite
113,The First Wives Club,1996,103,Comedy,,,6.4,51160,Hugh Wilson,Goldie Hawn,Bette Midler,Diane Keaton,Maggie Smith
114,Tin Cup,1996,135,Comedy, Drama, Romance,6.4,51654,Ron Shelton,Kevin Costner,Rene Russo,Don Johnson,Cheech Marin
115,Phenomenon,1996,123,Drama, Fantasy, Romance,6.4,81254,Jon Turteltaub,John Travolta,Kyra Sedgwick,Forest Whitaker,Robert Duvall
116,Last Man Standing,1996,101,Action, Crime, Drama,6.4,59334,Walter Hill,Bruce Willis,Bruce Dern,William Sanderson,Christopher Walken
117,Bullet,1996,96,Action, Crime, Drama,6.4,8625,Julien Temple,Mickey Rourke,Frank Senger,Adrien Brody,John Enos III
118,Evita,1996,135,Biography, Drama, History,6.3,36518,Alan Parker,Madonna,Jonathan Pryce,Antonio Banderas,Jimmy Nail
119,Surviving Picasso,1996,125,Biography, Drama, Romance,6.3,7659,James Ivory,Anthony Hopkins,Natascha McElhone,Julianne Moore,Joss Ackland
120,Mulholland Falls,1996,107,Crime, Drama, Mystery,6.3,18088,Lee Tamahori,Nick Nolte,Melanie Griffith,Jennifer Connelly,Chazz Palminteri
121,The Truth About Cats & Dogs,1996,97,Comedy, Romance,,6.3,28509,Michael Lehmann,Uma Thurman,Janeane Garofalo,Ben Chaplin,Jamie Foxx
122,Kansas City,1996,116,Crime, Drama, Music,6.3,5138,Robert Altman,Jennifer Jason Leigh,Miranda Richardson,Harry Belafonte,Michael Murphy
123,Fear,1996,97,Drama, Thriller,,6.2,50739,James Foley,Mark Wahlberg,Reese Witherspoon,William Petersen,Amy Brenneman
124,Eraser,1996,115,Action, Crime, Thriller,6.2,114400,Chuck Russell,Arnold Schwarzenegger,Vanessa Williams,James Caan,James Coburn
125,The Arrival,1996,115,Mystery, Sci-Fi, Thriller,6.2,36307,David Twohy,Charlie Sheen,Lindsay Crouse,Richard Schiff,Shane
126,Black Sheep,1996,87,Comedy,,,6.2,42124,Penelope Spheeris,Chris Farley,David Spade,Tim Matheson,Christine Ebersole
127,The Portrait of a Lady,1996,144,Drama, Romance,,6.2,12255,Jane Campion,Nicole Kidman,John Malkovich,Barbara Hershey,Martin Donovan
128,Mrs. Winterbourne,1996,105,Comedy, Drama, Romance,6.2,8167,Richard Benjamin,Shirley MacLaine,Ricki Lake,Brendan Fraser,Miguel Sandoval
129,City Hall,1996,111,Crime, Drama, Mystery,6.2,21466,Harold Becker,Al Pacino,John Cusack,Bridget Fonda,Danny Aiello
130,Extreme Measures,1996,118,Crime, Drama, Mystery,6.2,20035,Michael Apted,Hugh Grant,Gene Hackman,Sarah Jessica Parker,David Morse
131,The Cable Guy,1996,96,Comedy, Drama, Thriller,6.1,169900,Ben Stiller,Jim Carrey,Matthew Broderick,Leslie Mann,Jack Black
132,Broken Arrow,1996,108,Action, Adventure, Thriller,6.1,101503,John Woo,John Travolta,Christian Slater,Samantha Mathis,Delroy Lindo
133,Eye for an Eye,1996,101,Crime, Drama, Thriller,6.1,17829,John Schlesinger,Sally Field,Kiefer Sutherland,Ed Harris,Olivia Burnette
134,Down Periscope,1996,92,Comedy,,,6.1,25500,David S. Ward,Kelsey Grammer,Lauren Holly,Rob Schneider,Harry Dean Stanton
135,Multiplicity,1996,117,Comedy, Romance, Sci-Fi,6.1,33821,Harold Ramis,Michael Keaton,Andie MacDowell,Zack Duhame,Katie Schlossberg
136,Up Close & Personal,1996,124,Drama, Romance,,6.1,14889,Jon Avnet,Robert Redford,Michelle Pfeiffer,Stockard Channing,Joe Mantegna
137,Foxfire,1996,102,Drama, Romance,,6.1,9493,Annette Haywood-Carter,Hedy Burress,Angelina Jolie,Jenny Lewis,Jenny Shimizu
138,Before and After,1996,108,Crime, Drama, Mystery,6.1,9527,Barbet Schroeder,Meryl Streep,Liam Neeson,Edward Furlong,Julia Weldon
139,Albino Alligator,1996,94,Crime, Drama, Thriller,6.1,8310,Kevin Spacey,Matt Dillon,Faye Dunaway,Gary Sinise,William Fichtner
140,The Associate,1996,114,Comedy,,,6.1,8757,Donald Petrie,Whoopi Goldberg,Dianne Wiest,Eli Wallach,Tim Daly
141,Kama Sutra: A Tale of Love,1996,114,Crime, Drama, History,6.0,10956,Mira Nair,Naveen Andrews,Sarita Choudhury,Indira Varma,Ramon Tikaram
142,The Substitute,1996,114,Action, Crime, Drama,6.0,14572,Robert Mandel,Tom Berenger,Raymond Cruz,William Forsythe,Luis Guzmán
143,She's the One,1996,96,Comedy, Drama, Romance,6.0,18008,Edward Burns,Edward Burns,Jennifer Aniston,John Mahoney,Michael McGlone
144,The Chamber,1996,113,Crime, Drama, Thriller,6.0,15685,James Foley,Chris O'Donnell,Gene Hackman,Faye Dunaway,Robert Prosky
145,Tromeo and Juliet,1996,107,Action, Comedy, Drama,6.0,6548,Lloyd Kaufman,Jane Jensen,Will Keenan,Valentine Miele,William Beckwith
146,Bed of Roses,1996,87,Drama, Romance,,6.0,8507,Michael Goldenberg,Christian Slater,Mary Stuart Masterson,Pamela Adlon,Josh Brolin
147,Head Above Water,1996,92,Comedy, Thriller,,6.0,7936,Jim Wilson,Harvey Keitel,Cameron Diaz,Craig Sheffer,Billy Zane
148,Unforgettable,1996,117,Drama, Mystery, Sci-Fi,6.0,5699,John Dahl,Ray Liotta,Linda Fiorentino,Peter Coyote,Christopher McDonald
149,The Stendhal Syndrome,1996,113,Horror, Mystery, Thriller,6.0,8755,Dario Argento,Asia Argento,Thomas Kretschmann,Marco Leonardi,Luigi Diberti
150,Blood and Wine,1996,101,Crime, Drama, Thriller,6.0,10383,Bob Rafelson,Jack Nicholson,Michael Caine,Stephen Dorff,Jennifer Lopez
151,Black Mask,1996,99,Action, Adventure, Comedy,6.0,11950,Daniel Lee,Jet Li,Ching Wan Lau,Karen Mok,Françoise Yip
152,Raja Hindustani,1996,177,Action, Comedy, Drama,6.0,8032,Dharmesh Darshan,Aamir Khan,Karisma Kapoor,Suresh Oberoi,Johny Lever
153,Khiladiyon Ka Khiladi,1996,162,Action, Crime, Drama,6.0,6180,Umesh Mehra,Akshay Kumar,Rekha,Raveena Tandon,Deven Verma
154,Harriet the Spy,1996,100,Comedy, Drama, Family,5.9,10607,Bronwen Hughes,Michelle Trachtenberg,Rosie O'Donnell,Gregory Smith,Vanessa Chester
155,Daylight,1996,114,Action, Adventure, Drama,5.9,74483,Rob Cohen,Sylvester Stallone,Amy Brenneman,Viggo Mortensen,Dan Hedaya
156,The Fan,1996,116,Action, Drama, Sport,5.9,49606,Tony Scott,Robert De Niro,Wesley Snipes,Ellen Barkin,John Leguizamo
157,Homeward Bound II: Lost in San Francisco,1996,88,Adventure, Comedy, Family,5.9,15558,David R. Ellis,Michael J. Fox,Sally Field,Ralph Waite,Al Michaels
158,In Love and War,1996,113,Biography, Drama, Romance,5.9,8887,Richard Attenborough,Sandra Bullock,Chris O'Donnell,Mackenzie Astin,Margot Steinberg
159,Curdled,1996,88,Comedy, Crime, Thriller,5.9,5426,Reb Braddock,William Baldwin,Angela Jones,Bruce Ramsay,Lois Chiles
160,Jack,1996,113,Comedy, Drama, Fantasy,5.8,61939,Francis Ford Coppola,Robin Williams,Diane Lane,Brian Kerwin,Jennifer Lopez
161,Thinner,1996,93,Fantasy, Horror,,5.8,32089,Tom Holland,Robert John Burke,Joe Mantegna,Lucinda Jenney,Bethany Joy Lenz
162,Bulletproof,1996,84,Action, Comedy, Crime,5.8,39117,Ernest R. Dickerson,Damon Wayans,Adam Sandler,James Caan,Jeep Swenson
163,A Very Brady Sequel,1996,90,Comedy,,,5.8,11291,Arlene Sanford,Shelley Long,Gary Cole,Tim Matheson,Christopher Daniel Barnes
164,Sgt. Bilko,1996,93,Comedy,,,5.8,23237,Jonathan Lynn,Steve Martin,Dan Aykroyd,Phil Hartman,Glenne Headly
165,Bad Moon,1996,80,Horror, Thriller,,5.8,7346,Eric Red,Mariel Hemingway,Michael Paré,Mason Gamble,Ken Pogue
166,Heaven's Prisoners,1996,132,Drama, Mystery, Thriller,5.8,5560,Phil Joanou,Alec Baldwin,Kelly Lynch,Mary Stuart Masterson,Eric Roberts
167,Mary Reilly,1996,108,Drama, Horror, Romance,5.8,15349,Stephen Frears,Julia Roberts,John Malkovich,George Cole,Michael Gambon
168,101 Dalmatians,1996,103,Adventure, Comedy, Crime,5.7,113650,Stephen Herek,Glenn Close,Jeff Daniels,Joely Richardson,Joan Plowright
169,The Nutty Professor,1996,95,Comedy, Romance, Sci-Fi,5.7,119997,Tom Shadyac,Eddie Murphy,Jada Pinkett Smith,James Coburn,Larry Miller
170,Escape from L.A.,1996,101,Action, Adventure, Sci-Fi,5.7,77157,John Carpenter,Kurt Russell,Steve Buscemi,Stacy Keach,A.J. Langer
171,Jingle All the Way,1996,89,Adventure, Comedy, Family,5.7,108895,Brian Levant,Arnold Schwarzenegger,Sinbad,Phil Hartman,Rita Wilson
172,House Arrest,1996,108,Comedy, Family,,5.7,8952,Harry Winer,Jamie Lee Curtis,Kevin Pollak,Kyle Howard,Herbert Russell
173,Michael,1996,105,Comedy, Drama, Fantasy,5.7,44049,Nora Ephron,John Travolta,Andie MacDowell,William Hurt,Bob Hoskins
174,The Juror,1996,118,Crime, Drama, Thriller,5.7,19282,Brian Gibson,Demi Moore,Alec Baldwin,Joseph Gordon-Levitt,James Gandolfini
175,Alaska,1996,109,Adventure, Family,,5.7,5640,Fraser C. Heston,Thora Birch,Vincent Kartheiser,Dirk Benedict,Charlton Heston
176,The Preacher's Wife,1996,123,Comedy, Drama, Fantasy,5.7,12934,Penny Marshall,Denzel Washington,Whitney Houston,Courtney B. Vance,Gregory Hines
177,The Trigger Effect,1996,94,Drama, Thriller,,5.7,7919,David Koepp,Kyle MacLachlan,Elisabeth Shue,Dermot Mulroney,Richard T. Jones
178,Chain Reaction,1996,107,Action, Drama, Sci-Fi,5.6,53782,Andrew Davis,Keanu Reeves,Morgan Freeman,Rachel Weisz,Fred Ward
179,The Quest,1996,95,Action, Adventure, Drama,5.6,26880,Jean-Claude Van Damme,Jean-Claude Van Damme,Roger Moore,James Remar,Janet Gunn
180,A Thin Line Between Love and Hate,1996,108,Comedy, Crime, Drama,5.6,5137,Martin Lawrence,Martin Lawrence,Lynn Whitfield,Regina King,Bobby Brown
181,Larger Than Life,1996,93,Comedy, Family,,5.6,7586,Howard Franklin,Bill Murray,Matthew McConaughey,Jerry Adler,Richard Alan Baker
182,Joe's Apartment,1996,80,Comedy, Fantasy, Musical,5.5,13789,John Payson,Jerry O'Connell,Megan Ward,Billy West,Reginald Hudlin
