Ranking,IMDByear,IMDBlink,Title,RunTime,Genre,Rating,Score,Votes,Gross,Director,Cast1,Cast2,Cast3,Cast4
61,1998,https://www.imdb.com/title/tt0178868/?ref_=adv_li_tt,Ringu,96,"Horror, Mystery",7.2,,72870,,Hideo Nakata,Nanako Matsushima,Miki Nakatani,Yûko Takeuchi,Hitomi Satô
62,1998,https://www.imdb.com/title/tt0119670/?ref_=adv_li_tt,The Mighty,100,"Comedy, Drama",7.2,,13413,2.64M,Peter Chelsom,Kieran Culkin,Elden Henson,Sharon Stone,Harry Dean Stanton
63,1998,https://www.imdb.com/title/tt0119934/?ref_=adv_li_tt,Without Limits,117,"Biography, Drama, Sport",7.2,71.0,7284,0.78M,Robert Towne,Billy Crudup,Donald Sutherland,Monica Potter,Jeremy Sisto
64,1998,https://www.imdb.com/title/tt0120321/?ref_=adv_li_tt,Smoke Signals,89,"Comedy, Drama",7.2,76.0,12097,6.72M,Chris Eyre,Adam Beach,Evan Adams,Irene Bedard,Gary Farmer
65,1998,https://www.imdb.com/title/tt0120706/?ref_=adv_li_tt,The General,124,"Biography, Crime, Drama",7.2,81.0,8983,1.21M,John Boorman,Brendan Gleeson,Adrian Dunbar,Sean McGinley,Maria Doyle Kennedy
66,1998,https://www.imdb.com/title/tt0120070/?ref_=adv_li_tt,Savior,103,"Drama, War",7.2,,11215,0.01M,Predrag Antonijevic,Dennis Quaid,Nastassja Kinski,Pascal Rollin,Catlin Foster
67,1998,https://www.imdb.com/title/tt0126765/?ref_=adv_li_tt,23,99,"Thriller, Drama",7.2,,7056,,Hans-Christian Schmid,August Diehl,Fabian Busch,Dieter Landuris,Jan-Gregor Kremp
68,1998,https://www.imdb.com/title/tt0190419/?ref_=adv_li_tt,Ghulam,162,"Action, Crime, Drama",7.2,,11660,,Vikram Bhatt,Aamir Khan,Rani Mukerji,Rajit Kapoor,Mita Vashisht
69,1998,https://www.imdb.com/title/tt0162866/?ref_=adv_li_tt,The Emperor and the Assassin,162,"Drama, History, Romance",7.2,75.0,6331,1.33M,Kaige Chen,Gong Li,Fengyi Zhang,Zhou Sun,Xiaohe Lü
70,1998,https://www.imdb.com/title/tt0124901/?ref_=adv_li_tt,Thursday,87,"Action, Comedy, Crime",7.1,,19142,0.00M,Skip Woods,Thomas Jane,Aaron Eckhart,Paulina Porizkova,James Le Gros
71,1998,https://www.imdb.com/title/tt0120631/?ref_=adv_li_tt,Ever After: A Cinderella Story,121,"Comedy, Drama, Romance",7.1,66.0,78310,65.71M,Andy Tennant,Drew Barrymore,Anjelica Huston,Dougray Scott,Patrick Godfrey
72,1998,https://www.imdb.com/title/tt0129387/?ref_=adv_li_tt,There's Something About Mary,119,"Comedy, Romance",7.1,69.0,317615,176.48M,Bobby Farrelly,Peter Farrelly,Cameron Diaz,Matt Dillon,Ben Stiller
73,1998,https://www.imdb.com/title/tt0120611/?ref_=adv_li_tt,Blade,120,"Action, Horror, Sci-Fi",7.1,47.0,282380,70.09M,Stephen Norrington,Wesley Snipes,Stephen Dorff,Kris Kristofferson,N'Bushe Wright
74,1998,https://www.imdb.com/title/tt0138097/?ref_=adv_li_tt,Shakespeare in Love,123,"Comedy, Drama, History",7.1,87.0,228697,100.32M,John Madden,Gwyneth Paltrow,Joseph Fiennes,Geoffrey Rush,Tom Wilkinson
75,1998,https://www.imdb.com/title/tt0118892/?ref_=adv_li_tt,Dangerous Beauty,111,"Biography, Drama, Romance",7.1,,18539,4.53M,Marshall Herskovitz,Catherine McCormack,Rufus Sewell,Oliver Platt,Fred Ward
76,1998,https://www.imdb.com/title/tt0156729/?ref_=adv_li_tt,Last Night,95,"Comedy, Drama, Romance",7.1,65.0,9920,,Don McKellar,Don McKellar,Sandra Oh,Roberta Maxwell,Robin Gammell
77,1998,https://www.imdb.com/title/tt0120714/?ref_=adv_li_tt,The Interview,104,"Thriller, Crime, Drama",7.1,,8604,,Craig Monahan,Hugo Weaving,Tony Martin,Aaron Jeffery,Paul Sonkkila
