Ranking,IMDByear,IMDBlink,Title,RunTime,Genre,Rating,Score,Votes,Gross,Director,Cast1,Cast2,Cast3,Cast4
1,1996,https://www.imdb.com/title/tt0116860/?ref_=adv_li_tt,"Pretty Village, Pretty Flame",115,"Comedy, Drama, History",8.6,,17024,,Srdjan Dragojevic,Dragan Bjelogrlic,Nikola Kojo,Dragan Maksimovic,Zoran Cvijanovic
2,1996,https://www.imdb.com/title/tt2325915/?ref_=adv_li_tt,Poove Unakkaga,150,"Comedy, Drama, Romance",8.6,,6743,,Vikraman,Joseph Vijay,Sangeetha,Anju Aravind,Madhan Bob
3,1996,https://www.imdb.com/title/tt0117951/?ref_=adv_li_tt,Trainspotting,93,Drama,8.1,83.0,697857,16.50M,Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd
4,1996,https://www.imdb.com/title/tt0116282/?ref_=adv_li_tt,Fargo,98,"Crime, Thriller",8.1,86.0,689199,24.61M,Joel Coen,Ethan Coen,William H. Macy,Frances McDormand,Steve Buscemi
5,1996,https://www.imdb.com/title/tt0117905/?ref_=adv_li_tt,"Comrades, Almost a Love Story",118,"Drama, Romance",8.1,,6795,,Peter Ho-Sun Chan,Maggie Cheung,Leon Lai,Eric Tsang,Kristy Yeung
6,1996,https://www.imdb.com/title/tt0116231/?ref_=adv_li_tt,The Bandit,128,"Crime, Drama, Thriller",8.1,,70720,,Yavuz Turgul,Sener Sen,Ugur Yücel,Sermin Hürmeriç,Yesim Salkim
7,1996,https://www.imdb.com/title/tt0116630/?ref_=adv_li_tt,Indian,185,"Action, Drama, Thriller",8.1,,13076,,S. Shankar,Kamal Haasan,Sukanya,Manisha Koirala,Urmila Matondkar
8,1996,https://www.imdb.com/title/tt0117666/?ref_=adv_li_tt,Sling Blade,135,Drama,8.0,84.0,95764,24.48M,Billy Bob Thornton,Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,John Ritter
9,1996,https://www.imdb.com/title/tt0117589/?ref_=adv_li_tt,Secrets & Lies,136,"Comedy, Drama",8.0,91.0,44704,13.42M,Mike Leigh,Timothy Spall,Brenda Blethyn,Phyllis Logan,Claire Rushbrook
10,1996,https://www.imdb.com/title/tt0115751/?ref_=adv_li_tt,Breaking the Waves,159,Drama,7.8,81.0,68857,4.04M,Lars von Trier,Emily Watson,Stellan Skarsgård,Katrin Cartlidge,Jean-Marc Barr
11,1996,https://www.imdb.com/title/tt0117381/?ref_=adv_li_tt,Primal Fear,129,"Crime, Drama, Mystery",7.7,47.0,229583,56.12M,Gregory Hoblit,Richard Gere,Laura Linney,Edward Norton,John Mahoney
12,1996,https://www.imdb.com/title/tt0116477/?ref_=adv_li_tt,Hamlet,242,Drama,7.7,,38886,4.41M,Kenneth Branagh,Kenneth Branagh,Julie Christie,Derek Jacobi,Kate Winslet
13,1996,https://www.imdb.com/title/tt0116790/?ref_=adv_li_tt,Kolya,105,"Comedy, Drama, Music",7.7,,15827,5.73M,Jan Sverák,Zdenek Sverák,Andrey Khalimon,Libuse Safránková,Ondrej Vetchý
14,1996,https://www.imdb.com/title/tt0117615/?ref_=adv_li_tt,Shall We Dance?,136,"Comedy, Drama, Music",7.7,68.0,11339,9.68M,Masayuki Suô,Kôji Yakusho,Tamiyo Kusakari,Naoto Takenaka,Eri Watanabe
15,1996,https://www.imdb.com/title/tt0117398/?ref_=adv_li_tt,The Promise,90,Drama,7.7,82.0,8237,0.45M,Jean-Pierre Dardenne,Luc Dardenne,Jérémie Renier,Olivier Gourmet,Assita Ouedraogo
16,1996,https://www.imdb.com/title/tt0127311/?ref_=adv_li_tt,Tabutta Rövasata,76,Drama,7.7,,10471,,Dervis Zaim,Ahmet Ugurlu,Tuncel Kurtiz,Aysen Aydemir,Serif Erol
17,1996,https://www.imdb.com/title/tt0117731/?ref_=adv_li_tt,Star Trek: First Contact,111,"Action, Adventure, Drama",7.6,71.0,128039,92.00M,Jonathan Frakes,Patrick Stewart,Jonathan Frakes,Brent Spiner,LeVar Burton
18,1996,https://www.imdb.com/title/tt0117631/?ref_=adv_li_tt,Shine,105,"Biography, Drama, Music",7.6,87.0,55135,35.81M,Scott Hicks,Geoffrey Rush,Armin Mueller-Stahl,Justin Braine,Sonia Todd
19,1996,https://www.imdb.com/title/tt0115940/?ref_=adv_li_tt,A Summer's Tale,113,"Comedy, Drama, Romance",7.6,91.0,9067,0.20M,Éric Rohmer,Melvil Poupaud,Amanda Langlet,Gwenaëlle Simon,Aurelia Nolin
20,1996,https://www.imdb.com/title/tt0115640/?ref_=adv_li_tt,Beautiful Thing,90,"Comedy, Drama, Romance",7.6,,24851,1.50M,Hettie Macdonald,Glen Berry,Linda Henry,Scott Neal,Tameka Empson
21,1996,https://www.imdb.com/title/tt0116752/?ref_=adv_li_tt,Drifting Clouds,97,"Comedy, Drama",7.6,,8028,,Aki Kaurismäki,Kati Outinen,Kari Väänänen,Elina Salo,Sakari Kuosmanen
22,1996,https://www.imdb.com/title/tt0117913/?ref_=adv_li_tt,A Time to Kill,149,"Crime, Drama, Thriller",7.5,54.0,167665,108.77M,Joel Schumacher,Matthew McConaughey,Sandra Bullock,Samuel L. Jackson,Kevin Spacey
23,1996,https://www.imdb.com/title/tt0117665/?ref_=adv_li_tt,Sleepers,147,"Crime, Drama, Thriller",7.5,49.0,229291,49.10M,Barry Levinson,Robert De Niro,Kevin Bacon,Brad Pitt,Jason Patric
24,1996,https://www.imdb.com/title/tt0116581/?ref_=adv_li_tt,The Eighth Day,118,"Comedy, Drama",7.5,,9818,0.33M,Jaco Van Dormael,Daniel Auteuil,Pascal Duquenne,Miou-Miou,Henri Garcin
25,1996,https://www.imdb.com/title/tt0117571/?ref_=adv_li_tt,Scream,111,"Horror, Mystery",7.4,65.0,359415,103.05M,Wes Craven,Neve Campbell,Courteney Cox,David Arquette,Skeet Ulrich
26,1996,https://www.imdb.com/title/tt0117500/?ref_=adv_li_tt,The Rock,136,"Action, Adventure, Thriller",7.4,58.0,345190,134.07M,Michael Bay,Sean Connery,Nicolas Cage,Ed Harris,John Spencer
27,1996,https://www.imdb.com/title/tt0116209/?ref_=adv_li_tt,The English Patient,162,"Drama, Romance, War",7.4,87.0,194215,78.65M,Anthony Minghella,Ralph Fiennes,Juliette Binoche,Willem Dafoe,Kristin Scott Thomas
28,1996,https://www.imdb.com/title/tt0116905/?ref_=adv_li_tt,Lone Star,135,"Drama, Mystery, Western",7.4,78.0,30572,13.27M,John Sayles,Chris Cooper,Elizabeth Peña,Stephen Mendillo,Stephen J. Lang
29,1996,https://www.imdb.com/title/tt0118111/?ref_=adv_li_tt,Waiting for Guffman,84,Comedy,7.4,71.0,29788,2.92M,Christopher Guest,Christopher Guest,Fred Willard,Catherine O'Hara,Parker Posey
30,1996,https://www.imdb.com/title/tt0115561/?ref_=adv_li_tt,The Apartment,116,"Drama, Mystery, Romance",7.4,,15183,,Gilles Mimouni,Romane Bohringer,Vincent Cassel,Jean-Philippe Écoffey,Monica Bellucci
31,1996,https://www.imdb.com/title/tt0117883/?ref_=adv_li_tt,Thesis,125,"Crime, Horror, Mystery",7.4,,40269,,Alejandro Amenábar,Ana Torrent,Fele Martínez,Eduardo Noriega,Xabier Elorriaga
32,1996,https://www.imdb.com/title/tt0116767/?ref_=adv_li_tt,Kids Return,107,"Crime, Drama, Sport",7.4,,6431,,Takeshi Kitano,Ken Kaneko,Masanobu Andô,Leo Morimoto,Hatsuo Yamaya
33,1996,https://www.imdb.com/title/tt0118015/?ref_=adv_li_tt,Family Resemblances,110,"Comedy, Drama",7.4,,5308,0.32M,Cédric Klapisch,Jean-Pierre Bacri,Jean-Pierre Darroussin,Catherine Frot,Agnès Jaoui
34,1996,https://www.imdb.com/title/tt0116695/?ref_=adv_li_tt,Jerry Maguire,139,"Comedy, Drama, Romance",7.3,77.0,273973,153.95M,Cameron Crowe,Tom Cruise,Cuba Gooding Jr.,Renée Zellweger,Kelly Preston
35,1996,https://www.imdb.com/title/tt0115736/?ref_=adv_li_tt,Bound,109,"Crime, Thriller",7.3,61.0,57467,3.80M,Lana Wachowski,Lilly Wachowski,Jennifer Tilly,Gina Gershon,Joe Pantoliano
36,1996,https://www.imdb.com/title/tt0115678/?ref_=adv_li_tt,Big Night,109,"Drama, Romance",7.3,80.0,21555,11.88M,Campbell Scott,Stanley Tucci,Tony Shalhoub,Stanley Tucci,Marc Anthony
37,1996,https://www.imdb.com/title/tt0117318/?ref_=adv_li_tt,The People vs. Larry Flynt,130,"Biography, Drama",7.3,79.0,97394,20.19M,Milos Forman,Woody Harrelson,Courtney Love,Edward Norton,Brett Harrelson
38,1996,https://www.imdb.com/title/tt0117407/?ref_=adv_li_tt,Pusher,110,"Crime, Thriller",7.3,72.0,41892,0.00M,Nicolas Winding Refn,Kim Bodnia,Zlatko Buric,Laura Drasbæk,Slavko Labovic
39,1996,https://www.imdb.com/title/tt0116426/?ref_=adv_li_tt,The God of Cookery,95,"Action, Comedy, Fantasy",7.3,,9349,,Stephen Chow,Lik-Chi Lee,Stephen Chow,Karen Mok,Vincent Kok
40,1996,https://www.imdb.com/title/tt0117477/?ref_=adv_li_tt,Ridicule,102,"Comedy, Drama, History",7.3,80.0,7819,2.50M,Patrice Leconte,Charles Berling,Jean Rochefort,Fanny Ardant,Judith Godrèche
41,1996,https://www.imdb.com/title/tt0116367/?ref_=adv_li_tt,From Dusk Till Dawn,108,"Action, Crime, Horror",7.2,48.0,322722,25.75M,Robert Rodriguez,Harvey Keitel,George Clooney,Juliette Lewis,Quentin Tarantino
42,1996,https://www.imdb.com/title/tt0115685/?ref_=adv_li_tt,The Birdcage,117,Comedy,7.2,72.0,93297,124.06M,Mike Nichols,Robin Williams,Nathan Lane,Gene Hackman,Dianne Wiest
43,1996,https://www.imdb.com/title/tt0117802/?ref_=adv_li_tt,Swingers,96,"Comedy, Drama",7.2,71.0,84982,4.51M,Doug Liman,Vince Vaughn,Heather Graham,Jon Favreau,Ron Livingston
44,1996,https://www.imdb.com/title/tt0115744/?ref_=adv_li_tt,Brassed Off,108,"Comedy, Drama, Music",7.2,60.0,20348,2.56M,Mark Herman,Pete Postlethwaite,Tara Fitzgerald,Ewan McGregor,Stephen Tompkinson
45,1996,https://www.imdb.com/title/tt0115650/?ref_=adv_li_tt,The Green Planet,99,"Comedy, Sci-Fi",7.2,,5218,,Coline Serreau,Coline Serreau,Vincent Lindon,James Thierrée,Samuel Tasinaje
46,1996,https://www.imdb.com/title/tt0116308/?ref_=adv_li_tt,Fire,104,"Drama, Romance",7.2,64.0,6197,0.40M,Deepa Mehta,Shabana Azmi,Nandita Das,Karishma Jhalani,Ramanjeet Kaur
47,1996,https://www.imdb.com/title/tt0115738/?ref_=adv_li_tt,Box of Moonlight,112,"Comedy, Drama",7.2,,5863,0.72M,Tom DiCillo,John Turturro,Sam Rockwell,Catherine Keener,Lisa Blount
48,1996,https://www.imdb.com/title/tt0117128/?ref_=adv_li_tt,Mystery Science Theater 3000: The Movie,73,"Comedy, Drama, Fantasy",7.2,65.0,18625,1.01M,Jim Mallon,Trace Beaulieu,Michael J. Nelson,Jim Mallon,Kevin Murphy
49,1996,https://www.imdb.com/title/tt0117060/?ref_=adv_li_tt,Mission: Impossible,110,"Action, Adventure, Thriller",7.1,59.0,436092,180.98M,Brian De Palma,Tom Cruise,Jon Voight,Emmanuelle Béart,Henry Czerny
50,1996,https://www.imdb.com/title/tt0116365/?ref_=adv_li_tt,The Frighteners,110,"Comedy, Fantasy, Horror",7.1,52.0,91274,16.76M,Peter Jackson,Michael J. Fox,Trini Alvarado,Peter Dobson,John Astin
51,1996,https://www.imdb.com/title/tt0115639/?ref_=adv_li_tt,Beautiful Girls,112,"Comedy, Drama, Romance",7.1,64.0,33866,10.60M,Ted Demme,Matt Dillon,Timothy Hutton,Noah Emmerich,Annabeth Gish
52,1996,https://www.imdb.com/title/tt0119256/?ref_=adv_li_tt,Hard Eight,101,"Crime, Drama",7.1,78.0,52477,0.22M,Paul Thomas Anderson,Philip Baker Hall,John C. Reilly,Gwyneth Paltrow,Samuel L. Jackson
53,1996,https://www.imdb.com/title/tt0117039/?ref_=adv_li_tt,Michael Collins,133,"Biography, Drama, Thriller",7.1,60.0,32432,11.09M,Neil Jordan,Liam Neeson,Aidan Quinn,Julia Roberts,Ian Hart
54,1996,https://www.imdb.com/title/tt0117958/?ref_=adv_li_tt,Trees Lounge,95,"Comedy, Drama",7.1,76.0,16866,0.70M,Steve Buscemi,Steve Buscemi,Carol Kane,Mark Boone Junior,Bronson Dudley
55,1996,https://www.imdb.com/title/tt0117991/?ref_=adv_li_tt,Twelfth Night,134,"Comedy, Drama, Romance",7.1,,6193,0.55M,Trevor Nunn,Helena Bonham Carter,Richard E. Grant,Imogen Stubbs,Steven Mackintosh
56,1996,https://www.imdb.com/title/tt0117093/?ref_=adv_li_tt,Mother Night,114,"Drama, Romance, War",7.1,,5381,0.39M,Keith Gordon,Nick Nolte,Sheryl Lee,Tony Robinow,Michael McGill
57,1996,https://www.imdb.com/title/tt0117008/?ref_=adv_li_tt,Matilda,102,"Comedy, Family, Fantasy",7.0,72.0,162012,33.08M,Danny DeVito,Danny DeVito,Rhea Perlman,Mara Wilson,Embeth Davidtz
58,1996,https://www.imdb.com/title/tt0116483/?ref_=adv_li_tt,Happy Gilmore,92,"Comedy, Sport",7.0,31.0,233344,38.62M,Dennis Dugan,Adam Sandler,Christopher McDonald,Julie Bowen,Frances Bay
59,1996,https://www.imdb.com/title/tt0116629/?ref_=adv_li_tt,Independence Day,145,"Action, Adventure, Sci-Fi",7.0,59.0,584071,306.17M,Roland Emmerich,Will Smith,Bill Pullman,Jeff Goldblum,Mary McDonnell
60,1996,https://www.imdb.com/title/tt0117887/?ref_=adv_li_tt,That Thing You Do!,108,"Comedy, Drama, Music",7.0,71.0,70884,25.81M,Tom Hanks,Tom Hanks,Liv Tyler,Charlize Theron,Tom Everett Scott
61,1996,https://www.imdb.com/title/tt0116583/?ref_=adv_li_tt,The Hunchback of Notre Dame,91,"Animation, Drama, Family",7.0,74.0,162664,100.14M,Gary Trousdale,Kirk Wise,Demi Moore,Jason Alexander,Mary Kay Bergman
62,1996,https://www.imdb.com/title/tt0116650/?ref_=adv_li_tt,Irma Vep,99,"Comedy, Drama",7.0,80.0,8710,0.19M,Olivier Assayas,Maggie Cheung,Jean-Pierre Léaud,Nathalie Richard,Antoine Basler
63,1996,https://www.imdb.com/title/tt0116041/?ref_=adv_li_tt,The Daytrippers,87,"Comedy, Drama",7.0,73.0,6233,2.08M,Greg Mottola,Hope Davis,Stanley Tucci,Parker Posey,Liev Schreiber
64,1996,https://www.imdb.com/title/tt0116736/?ref_=adv_li_tt,The Hunters,113,"Crime, Thriller",7.0,,8965,,Kjell Sundvall,Rolf Lassgård,Lennart Jähkel,Jarmo Mäkinen,Tomas Norström
65,1996,https://www.imdb.com/title/tt0115906/?ref_=adv_li_tt,Citizen Ruth,106,"Comedy, Drama",7.0,64.0,8530,0.15M,Alexander Payne,Laura Dern,Swoosie Kurtz,Mary Kay Place,Kurtwood Smith
66,1996,https://www.imdb.com/title/tt0117718/?ref_=adv_li_tt,The Spitfire Grill,117,Drama,7.0,,7029,12.64M,Lee David Zlotoff,Alison Elliott,Ellen Burstyn,Marcia Gay Harden,Will Patton
67,1996,https://www.imdb.com/title/tt0116778/?ref_=adv_li_tt,Kingpin,114,"Comedy, Sport",6.9,43.0,87217,24.94M,Bobby Farrelly,Peter Farrelly,Woody Harrelson,Randy Quaid,Bill Murray
68,1996,https://www.imdb.com/title/tt0115734/?ref_=adv_li_tt,Bottle Rocket,91,"Comedy, Crime, Drama",6.9,67.0,79227,0.56M,Wes Anderson,Luke Wilson,Owen Wilson,Ned Dowd,Shea Fowler
69,1996,https://www.imdb.com/title/tt0116329/?ref_=adv_li_tt,Fly Away Home,107,"Adventure, Drama, Family",6.9,77.0,26253,24.51M,Carroll Ballard,Jeff Daniels,Anna Paquin,Dana Delany,Terry Kinney
70,1996,https://www.imdb.com/title/tt0117603/?ref_=adv_li_tt,Set It Off,123,"Action, Crime, Drama",6.9,62.0,17268,36.05M,F. Gary Gray,Jada Pinkett Smith,Queen Latifah,Vivica A. Fox,Kimberly Elise
71,1996,https://www.imdb.com/title/tt0115632/?ref_=adv_li_tt,Basquiat,107,"Biography, Drama",6.9,65.0,21274,2.96M,Julian Schnabel,Jeffrey Wright,Michael Wincott,Benicio Del Toro,Claire Forlani
72,1996,https://www.imdb.com/title/tt0117110/?ref_=adv_li_tt,Muppet Treasure Island,99,"Action, Adventure, Comedy",6.9,64.0,25153,33.61M,Brian Henson,David Lane,Tim Curry,Billy Connolly,Jennifer Saunders
73,1996,https://www.imdb.com/title/tt0116722/?ref_=adv_li_tt,Jude,123,"Drama, Romance",6.9,68.0,10821,0.41M,Michael Winterbottom,Christopher Eccleston,Kate Winslet,Liam Cunningham,Rachel Griffiths
74,1996,https://www.imdb.com/title/tt0117091/?ref_=adv_li_tt,Mother,104,"Comedy, Drama",6.9,76.0,6448,19.12M,Albert Brooks,Albert Brooks,Debbie Reynolds,Paul Collins,Laura Weekes
75,1996,https://www.imdb.com/title/tt0116768/?ref_=adv_li_tt,Kids in the Hall: Brain Candy,89,Comedy,6.9,55.0,9275,2.65M,Kelly Makin,David Foley,Bruce McCulloch,Kevin McDonald,Mark McKinney
76,1996,https://www.imdb.com/title/tt0116404/?ref_=adv_li_tt,Get on the Bus,120,"Adventure, Drama, History",6.9,84.0,5841,5.73M,Spike Lee,Ossie Davis,Charles S. Dutton,Andre Braugher,Richard Belzer
77,1996,https://www.imdb.com/title/tt0116908/?ref_=adv_li_tt,The Long Kiss Goodnight,121,"Action, Crime, Drama",6.8,44.0,81998,33.33M,Renny Harlin,Geena Davis,Samuel L. Jackson,Yvonne Zima,Craig Bierko
78,1996,https://www.imdb.com/title/tt0116361/?ref_=adv_li_tt,Freeway,102,"Crime, Drama, Thriller",6.8,61.0,29767,0.30M,Matthew Bright,Reese Witherspoon,Kiefer Sutherland,Bokeem Woodbine,Paul Perri
79,1996,https://www.imdb.com/title/tt0116409/?ref_=adv_li_tt,The Ghost and the Darkness,110,"Adventure, Drama, Thriller",6.8,46.0,63740,38.62M,Stephen Hopkins,Michael Douglas,Val Kilmer,Tom Wilkinson,John Kani
80,1996,https://www.imdb.com/title/tt0115988/?ref_=adv_li_tt,The Crucible,124,"Drama, History",6.8,75.0,38835,7.34M,Nicholas Hytner,Daniel Day-Lewis,Winona Ryder,Paul Scofield,Joan Allen
81,1996,https://www.imdb.com/title/tt0115641/?ref_=adv_li_tt,Beavis and Butt-Head Do America,81,"Animation, Adventure, Comedy",6.8,64.0,58659,63.07M,Mike Judge,Mike de Seve,Brian Mulroney,Yvette Kaplan,Mike Judge
82,1996,https://www.imdb.com/title/tt0116684/?ref_=adv_li_tt,Jane Eyre,112,"Drama, Romance",6.8,,9877,5.20M,Franco Zeffirelli,William Hurt,Charlotte Gainsbourg,Anna Paquin,Nic Knight
83,1996,https://www.imdb.com/title/tt0117509/?ref_=adv_li_tt,Romeo + Juliet,120,"Drama, Romance",6.7,60.0,234676,46.35M,Baz Luhrmann,Leonardo DiCaprio,Claire Danes,John Leguizamo,Harold Perrineau
84,1996,https://www.imdb.com/title/tt0116683/?ref_=adv_li_tt,James and the Giant Peach,79,"Animation, Adventure, Family",6.7,78.0,70233,28.93M,Henry Selick,Paul Terry,Joanna Lumley,Pete Postlethwaite,Simon Callow
85,1996,https://www.imdb.com/title/tt0117438/?ref_=adv_li_tt,Ransom,121,"Action, Crime, Thriller",6.7,60.0,131077,136.49M,Ron Howard,Mel Gibson,Gary Sinise,Rene Russo,Brawley Nolte
86,1996,https://www.imdb.com/title/tt0116242/?ref_=adv_li_tt,Everyone Says I Love You,101,"Comedy, Musical, Romance",6.7,,38057,9.71M,Woody Allen,Woody Allen,Goldie Hawn,Julia Roberts,Edward Norton
87,1996,https://www.imdb.com/title/tt0116999/?ref_=adv_li_tt,Marvin's Room,98,Drama,6.7,68.0,28825,12.78M,Jerry Zaks,Meryl Streep,Leonardo DiCaprio,Diane Keaton,Robert De Niro
88,1996,https://www.imdb.com/title/tt0120238/?ref_=adv_li_tt,SubUrbia,121,"Comedy, Drama",6.7,62.0,10079,0.73M,Richard Linklater,Giovanni Ribisi,Steve Zahn,Jayce Bartok,Amie Carey
89,1996,https://www.imdb.com/title/tt0116324/?ref_=adv_li_tt,Flirting with Disaster,92,Comedy,6.7,81.0,19330,14.89M,David O. Russell,Ben Stiller,Patricia Arquette,Téa Leoni,Mary Tyler Moore
90,1996,https://www.imdb.com/title/tt0116410/?ref_=adv_li_tt,Ghosts of Mississippi,130,"Drama, History",6.7,,11545,13.05M,Rob Reiner,Alec Baldwin,James Woods,Whoopi Goldberg,Virginia Madsen
91,1996,https://www.imdb.com/title/tt0117561/?ref_=adv_li_tt,Schizopolis,96,"Comedy, Fantasy, Mystery",6.7,44.0,5865,0.01M,Steven Soderbergh,Steven Soderbergh,Scott Allen,Betsy Brantley,Marcus Lyle Brown
92,1996,https://www.imdb.com/title/tt0116191/?ref_=adv_li_tt,Emma,120,"Comedy, Drama, Romance",6.6,66.0,40218,22.20M,Douglas McGrath,Gwyneth Paltrow,James Cosmo,Greta Scacchi,Alan Cumming
93,1996,https://www.imdb.com/title/tt0115956/?ref_=adv_li_tt,Courage Under Fire,116,"Action, Drama, Mystery",6.6,77.0,56756,59.03M,Edward Zwick,Denzel Washington,Meg Ryan,Lou Diamond Phillips,Michael Moriarty
94,1996,https://www.imdb.com/title/tt0118158/?ref_=adv_li_tt,White Squall,129,"Adventure, Drama",6.6,53.0,24498,10.30M,Ridley Scott,Jeff Bridges,Caroline Goodall,John Savage,Scott Wolf
95,1996,https://www.imdb.com/title/tt0117057/?ref_=adv_li_tt,The Mirror Has Two Faces,126,"Comedy, Drama, Romance",6.6,,20707,41.25M,Barbra Streisand,Barbra Streisand,Jeff Bridges,Lauren Bacall,George Segal
96,1996,https://www.imdb.com/title/tt0116704/?ref_=adv_li_tt,First Strike,107,"Action, Adventure, Comedy",6.6,,21574,15.32M,Stanley Tong,Jackie Chan,Jackson Lou,Annie Wu,Bill Tung
97,1996,https://www.imdb.com/title/tt0119783/?ref_=adv_li_tt,Night Falls on Manhattan,113,"Crime, Drama, Thriller",6.6,58.0,8382,9.88M,Sidney Lumet,Andy Garcia,Richard Dreyfuss,Lena Olin,Ian Holm
98,1996,https://www.imdb.com/title/tt0116594/?ref_=adv_li_tt,I Shot Andy Warhol,103,"Biography, Drama",6.6,75.0,6922,1.81M,Mary Harron,Lili Taylor,Jared Harris,Martha Plimpton,Lothaire Bluteau
99,1996,https://www.imdb.com/title/tt0116378/?ref_=adv_li_tt,The Funeral,99,"Crime, Drama",6.6,,9043,1.23M,Abel Ferrara,Christopher Walken,Chris Penn,Annabella Sciorra,Isabella Rossellini
100,1996,https://www.imdb.com/title/tt0117705/?ref_=adv_li_tt,Space Jam,88,"Animation, Adventure, Comedy",6.5,59.0,202778,90.46M,Joe Pytka,Michael Jordan,Wayne Knight,Theresa Randle,Manner Washington
101,1996,https://www.imdb.com/title/tt0117737/?ref_=adv_li_tt,Stealing Beauty,118,"Drama, Mystery, Romance",6.5,60.0,29229,4.57M,Bernardo Bertolucci,Jeremy Irons,Liv Tyler,Carlo Cecchi,Sinéad Cusack
102,1996,https://www.imdb.com/title/tt0116126/?ref_=adv_li_tt,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,89,"Comedy, Crime",6.5,53.0,58061,20.11M,Paris Barclay,Shawn Wayans,Marlon Wayans,Keenen Ivory Wayans,Tracey Cherelle Jones
103,1996,https://www.imdb.com/title/tt0116253/?ref_=adv_li_tt,Executive Decision,133,"Action, Adventure, Thriller",6.5,62.0,59371,56.57M,Stuart Baird,Kurt Russell,Halle Berry,John Leguizamo,Oliver Platt
104,1996,https://www.imdb.com/title/tt0115438/?ref_=adv_li_tt,2 Days in the Valley,104,"Comedy, Crime, Thriller",6.5,56.0,20931,11.11M,John Herzfeld,Teri Hatcher,Jeff Daniels,Danny Aiello,Charlize Theron
105,1996,https://www.imdb.com/title/tt0117247/?ref_=adv_li_tt,One Fine Day,108,"Comedy, Drama, Romance",6.5,56.0,47310,46.15M,Michael Hoffman,Michelle Pfeiffer,George Clooney,Mae Whitman,Alex D. Linz
106,1996,https://www.imdb.com/title/tt0117119/?ref_=adv_li_tt,My Fellow Americans,101,"Adventure, Comedy",6.5,49.0,15521,22.29M,Peter Segal,Jack Lemmon,James Garner,Dan Aykroyd,John Heard
107,1996,https://www.imdb.com/title/tt0114134/?ref_=adv_li_tt,The Pillow Book,126,Drama,6.5,64.0,13273,2.29M,Peter Greenaway,Vivian Wu,Ewan McGregor,Yoshi Oida,Ken Ogata
108,1996,https://www.imdb.com/title/tt0117998/?ref_=adv_li_tt,Twister,113,"Action, Adventure, Thriller",6.4,68.0,201384,241.72M,Jan de Bont,Helen Hunt,Bill Paxton,Cary Elwes,Jami Gertz
109,1996,https://www.imdb.com/title/tt0115964/?ref_=adv_li_tt,Crash,100,Drama,6.4,53.0,62877,2.04M,David Cronenberg,James Spader,Holly Hunter,Elias Koteas,Deborah Kara Unger
110,1996,https://www.imdb.com/title/tt0116996/?ref_=adv_li_tt,Mars Attacks!,106,"Comedy, Sci-Fi",6.4,52.0,233315,37.77M,Tim Burton,Jack Nicholson,Pierce Brosnan,Sarah Jessica Parker,Annette Bening
111,1996,https://www.imdb.com/title/tt0115963/?ref_=adv_li_tt,The Craft,101,"Drama, Fantasy, Horror",6.4,55.0,98681,24.88M,Andrew Fleming,Robin Tunney,Fairuza Balk,Neve Campbell,Rachel True
112,1996,https://www.imdb.com/title/tt0116136/?ref_=adv_li_tt,DragonHeart,103,"Action, Adventure, Fantasy",6.4,49.0,99278,51.37M,Rob Cohen,Dennis Quaid,Sean Connery,Dina Meyer,Pete Postlethwaite
113,1996,https://www.imdb.com/title/tt0116313/?ref_=adv_li_tt,The First Wives Club,103,Comedy,6.4,58.0,51160,105.49M,Hugh Wilson,Goldie Hawn,Bette Midler,Diane Keaton,Maggie Smith
114,1996,https://www.imdb.com/title/tt0117918/?ref_=adv_li_tt,Tin Cup,135,"Comedy, Drama, Romance",6.4,60.0,51654,53.85M,Ron Shelton,Kevin Costner,Rene Russo,Don Johnson,Cheech Marin
115,1996,https://www.imdb.com/title/tt0117333/?ref_=adv_li_tt,Phenomenon,123,"Drama, Fantasy, Romance",6.4,41.0,81254,104.64M,Jon Turteltaub,John Travolta,Kyra Sedgwick,Forest Whitaker,Robert Duvall
116,1996,https://www.imdb.com/title/tt0116830/?ref_=adv_li_tt,Last Man Standing,101,"Action, Crime, Drama",6.4,44.0,59334,17.60M,Walter Hill,Bruce Willis,Bruce Dern,William Sanderson,Christopher Walken
117,1996,https://www.imdb.com/title/tt0115781/?ref_=adv_li_tt,Bullet,96,"Action, Crime, Drama",6.4,,8625,,Julien Temple,Mickey Rourke,Frank Senger,Adrien Brody,John Enos III
118,1996,https://www.imdb.com/title/tt0116250/?ref_=adv_li_tt,Evita,135,"Biography, Drama, History",6.3,45.0,36518,50.05M,Alan Parker,Madonna,Jonathan Pryce,Antonio Banderas,Jimmy Nail
119,1996,https://www.imdb.com/title/tt0117791/?ref_=adv_li_tt,Surviving Picasso,125,"Biography, Drama, Romance",6.3,55.0,7659,2.00M,James Ivory,Anthony Hopkins,Natascha McElhone,Julianne Moore,Joss Ackland
120,1996,https://www.imdb.com/title/tt0117107/?ref_=adv_li_tt,Mulholland Falls,107,"Crime, Drama, Mystery",6.3,51.0,18088,11.50M,Lee Tamahori,Nick Nolte,Melanie Griffith,Jennifer Connelly,Chazz Palminteri
